patent_id,in_degree,rank_in,patent_title_in
5862325,1429,61,Computer-based communication system and method using metadata defining a control structure
4706121,1423,62,TV schedule system and process
5754939,1420,63,System for generation of user profiles for a system for customized electronic identification of desirable objects
4313124,1418,64,Liquid jet recording process and liquid jet recording head
6850252,1417,65,Intelligent electronic appliance system and method
4886062,1409,66,Intravascular radially expandable stent and method of implant
4901307,1407,67,Spread spectrum multiple access communication system using satellite or terrestrial repeaters
4580568,1391,68,Percutaneous endovascular stent and method for insertion thereof
5223409,1389,69,Directed evolution of novel binding proteins
4946778,1387,70,Single polypeptide chain binding molecules
4459600,1379,71,Liquid jet recording device
5715314,1379,72,Network sales system
5655961,1374,73,Method for operating networked gaming devices
5247190,1366,74,Electroluminescent devices
7663607,1363,75,Multipoint touchscreen
6226618,1357,76,Electronic content delivery system
5403312,1352,77,Electrosurgical hemostatic device
4800882,1330,78,Endovascular stent and delivery system
5796952,1330,79,Method and apparatus for tracking client interaction with a network resource and creating client profiles and resource database
4776337,1323,80,"Expandable intraluminal graft, and method and apparatus for implanting an expandable intraluminal graft"
5774660,1317,81,World-wide-web server with delayed resource-binding for resource-based load balancing on a distributed resource multi-node network
5643826,1305,82,Method for manufacturing a semiconductor device
4965188,1305,83,"Process for amplifying, detecting, and/or cloning nucleic acid sequences using a thermostable enzyme"
5848932,1304,84,Method of playing game and gaming games with an additional payout indicator
5773683,1298,85,Inbred corn line LH283
5758257,1287,86,System and method for scheduling broadcast of and access to video programs and other data using customer profiles
6433261,1281,87,Inbred corn plant 89AHD12 and seeds thereof
5629980,1278,88,System for controlling the distribution and use of digital works
4992940,1276,89,System and method for automated selection of equipment for purchase through input of user desired specifications
4179337,1266,90,Non-immunogenic polypeptides
5585089,1259,91,Humanized immunoglobulins
5835087,1254,92,System for generation of object profiles for a system for customized electronic identification of desirable objects
5223844,1254,93,Vehicle tracking and security system
4731726,1242,94,Patient-operated glucose monitor and diabetes management system
3916899,1240,95,- No title available -
5933811,1225,96,System and method for delivering customized advertisements within interactive communication systems
6693232,1212,97,Inbred corn line LH295
6029141,1211,98,Internet-based customer referral system
6852915,1211,99,Inbred corn line LH283BtMON810
5715403,1199,100,System for controlling the distribution and use of digital works having attached usage rights where the usage rights are defined by a usage rights grammar
3849241,1199,101,- No title available -
4739762,1196,102,"Expandable intraluminal graft, and method and apparatus for implanting an expandable intraluminal graft"
5816918,1192,103,Prize redemption system for games
3874388,1190,104,- No title available -
5708780,1189,105,Internet server access control and monitoring systems
5530101,1185,106,Humanized immunoglobulins
6011725,1183,107,Two bit non-volatile electrically erasable and programmable semiconductor memory cell utilizing asymmetrical charge trapping
6558320,1172,108,Handheld personal data assistant (PDA) with a medical device and method of using the same
5608786,1170,109,Unified messaging system and method
5825352,1169,110,Multiple fingers contact sensing method for emulating mouse buttons and mouse operations on a touch sensor pad
5064435,1163,111,Self-expanding prosthesis having stable axial length
4425908,1162,112,Blood clot filter
5823874,1160,113,Method of playing game and gaming device with an additional payout indicator
5496312,1151,114,Impedance and temperature generator control
5661506,1141,115,Pen and paper information recording system using an imaging pen
6587835,1139,116,Shopping assistance with handheld computing device
5899855,1134,117,Modular microprocessor-based health monitoring system
4769292,1132,118,Electroluminescent device with modified thin film luminescent zone
5172338,1127,119,Multi-state EEprom read and write circuits and techniques
5699528,1125,120,System and method for bill delivery and payment over a communications network
4340563,1125,121,Method for forming nonwoven webs
3657744,1116,122,- No title available -
5569186,1113,123,Closed loop infusion pump system with removable glucose sensor
6134461,1112,124,Electrochemical analyte
4856787,1112,125,Concurrent game network
5765152,1106,126,System and method for managing copyrighted electronic media
4494950,1105,127,Plural module medication delivery system
5770533,1098,128,Open architecture casino operating system
4695053,1095,129,Gaming device having player selectable winning combinations
5136501,1093,130,Anonymous matching system
4405829,1092,131,Cryptographic communications system and method
4349921,1085,132,Intervertebral disc prosthesis
6103033,1085,133,Process for producing an electrochemical biosensor
6120676,1084,134,Method of using a small volume in vitro analyte sensor
5724424,1084,135,Digital active advertising
5393057,1082,136,Electronic gaming apparatus and method
6159097,1076,137,Gaming machine with variable probability of obtaining bonus game payouts
5677955,1072,138,Electronic funds transfer instruments
5788573,1070,139,Electronic game method and apparatus with hierarchy of simulated wheels
5433721,1068,140,Endoscopic instrument having a torsionally stiff drive shaft for applying fasteners to tissue
5015247,1067,141,Threaded spinal implant
4674044,1067,142,Automated securities trading system
5497772,1064,143,Glucose monitoring system
5956716,1062,144,System and method for delivery of video data over a computer network
5347632,1059,145,Reception system for an interactive computer network and method of operation
5852434,1058,146,Absolute optical position determination
5593852,1055,147,Subcutaneous glucose electrode
6606744,1053,148,Providing collaborative installation management in a network-based supply chain environment
5850218,1052,149,Inter-active program guide with default selection control
5880411,1051,150,Object position detector with edge motion feature and gesture recognition
6400996,1050,151,Adaptive pattern recognition based control system and method
4953552,1050,152,Blood glucose monitoring system
5589892,1046,153,Electronic television program guide schedule system and method with data feed access
5342047,1044,154,Touch screen video gaming machine
6009410,1042,155,Method and system for presenting customized advertising to a user on the world wide web
5390671,1040,156,Transcutaneous sensor insertion set
6091956,1040,157,Situation information system
5980384,1037,158,Gaming apparatus and method having an integrated first and second game
5410326,1035,159,Programmable remote control device for interacting with a plurality of remotely controlled devices
5477012,1035,160,Optical position determination
4800159,1034,161,"Process for amplifying, detecting, and/or cloning nucleic acid sequences"
6641533,1034,162,Handheld personal data assistant (PDA) with a medical device and method of using the same
5507288,1027,163,Analytical system for monitoring a substance to be analyzed in patient-blood
4903201,1024,164,Automated futures trading exchange
3867728,1022,165,- No title available -
5822715,1022,166,Diabetes management system and method for controlling blood glucose
5692073,1021,167,Formless forms and paper web using a reference-based mark extraction technique
6034882,1018,168,Vertically stacked field programmable nonvolatile memory and method of fabrication
5050612,1017,169,Device for computer-assisted monitoring of the body
5493692,1015,170,Selective delivery of electronic messages in a multiple computer system based on context and environment of a user
5403311,1015,171,Electro-coagulation and ablation and other electrotherapeutic treatments of body tissue
6565509,1015,172,Analyte monitoring device and methods of use
6076734,1012,173,Methods and systems for providing human/computer interfaces
4548202,1012,174,Mesh tissue fasteners
5835896,1010,175,Method and system for processing and transmitting electronic auction information
4827508,1007,176,Database usage metering and protection system and method
5982891,1006,177,Systems and methods for secure transaction management and electronic rights protection
5695504,1005,178,Devices and methods for performing a vascular anastomosis
5307263,1004,179,Modular microprocessor-based health monitoring system
4856516,1003,180,Endovascular stent apparatus and method
5391250,1002,181,Method of fabricating thin film sensors
5855601,1002,182,Artificial heart valve and method and device for implanting the same
4100324,1001,183,Nonwoven fabric and method of producing same
5791344,1001,184,Patient monitoring system
4994071,1000,185,Bifurcating stent apparatus and method
5768382,998,186,Remote-auditing of computer generated outcomes and authenticated biling and access control system using cryptographic and other protocols
5693762,997,187,Humanized immunoglobulins
6766817,992,188,Fluid conduction utilizing a reversible unsaturated siphon with tubarc porosity action
5101353,990,189,Automated system for providing liquidity to securities markets
6112181,989,190,"Systems and methods for matching, selecting, narrowcasting, and/or classifying based on rights management and/or other information"
5272236,989,191,Elastic substantially linear olefin polymers
6516227,987,192,Rechargeable spinal cord stimulator system
6188391,987,193,Two-layer capacitive touchpad and method of making same
5353121,984,194,Television schedule system
4864618,984,195,Automated transaction system with modular printhead having print authentication feature
5586553,984,196,Transcutaneous sensor insertion set
7632985,983,197,Soybean event MON89788 and methods for detection thereof
5721827,982,198,System for electrically distributing personalized information
5192327,981,199,Surgical prosthetic implant for vertebrae
5652412,979,200,Pen and paper information recording system
6329161,978,201,Subcutaneous glucose electrode
4834757,977,202,Prosthetic implant
5754938,977,203,Pseudonymous server for system for customized electronic identification of desirable objects
6089976,976,204,Gaming apparatus and method including a player interactive bonus game
5833603,975,205,Implantable biosensing transponder
6143164,973,206,Small volume in vitro analyte sensor
5059193,971,207,Expandable spinal implant and surgical method
5429361,971,208,"Gaming machine information, communication and display system"
4703756,970,209,"Complete glucose monitoring system with an implantable, telemetered sensor module"
6096070,969,210,Coated implantable medical device
5813009,968,211,Computer based records management system method
5334193,968,212,Fluid cooled ablation catheter
6159095,966,213,Video gaming device having multiple stacking features
5571116,966,214,Non-invasive treatment of gastroesophageal reflux disease
5411552,965,215,Valve prothesis for implantation in the body and a catheter for implanting such valve prothesis
5077665,965,216,Distributed matching system
6004269,965,217,"Catheters for imaging, sensing electrical potentials, and ablating tissue"
4994069,964,218,Vaso-occlusion coil and method
6110041,962,219,Method and system for adapting gaming devices to playing preferences
6190255,961,220,Bonus game for a gaming machine
3692618,961,221,- No title available -
6159098,961,222,Dual-award bonus game for a gaming machine
6558351,961,223,Closed loop system for controlling insulin infusion
5488204,961,224,Paintbrush stylus for capacitive touch sensor pad
5968830,960,225,Soybean transformation and regeneration methods
5768192,960,226,Non-volatile semiconductor memory cell utilizing asymmetrical charge trapping
5951397,959,227,Gaming machine and method using touch screen
5918213,959,228,"System and method for automated remote previewing and purchasing of music, video, software, and other multimedia products"
4582324,959,229,Illusion of skill game machine for a gaming system
5163131,956,230,Parallel I/O network file server architecture
6560471,956,231,Analyte monitoring device and methods of use
6321158,956,232,Integrated routing/mapping information
6222762,952,233,Multi-state memory
5445934,952,234,Array of oligonucleotides on a solid substrate
5923962,951,235,Method for manufacturing a semiconductor device
5165407,951,236,Implantable glucose sensor
6269361,949,237,System and method for influencing a position on a search result list generated by a computer network search engine
5600364,949,238,Network controller for cable television delivery systems
4977455,947,239,System and process for VCR scheduling
5331966,947,240,"Subcutaneous multi-electrode sensing system, method and pacer"
6135884,944,241,Gaming machine having secondary display for providing video content
5374564,943,242,Process for the production of thin semiconductor material films
4558413,942,243,Software version management system
6460036,941,244,System and method for providing customized electronic newspapers and target advertisements
3953566,940,245,Process for producing porous products
5778395,939,246,System for backing up files from disk volumes on multiple nodes of a computer network
5051736,939,247,Optical stylus and passive digitizing tablet data input system
6208894,938,248,System of implantable devices for monitoring and/or affecting body parameters
6571279,938,249,Location enhanced information delivery system
6190353,938,250,Methods and apparatus for bypassing arterial obstructions and/or performing other transvascular procedures
5965380,938,251,Subcutaneous glucose electrode
5943422,937,252,Steganographic techniques for securely delivering electronic digital rights management control information over insecure communication channels
6002394,936,253,Systems and methods for linking television viewers with advertisers and broadcasters
6579690,934,254,Blood analyte monitoring through subcutaneous measurement
5040715,934,255,Apparatus and method for placing staples in laparoscopic or endoscopic procedures
5370675,932,256,Medical probe device and method
5297032,932,257,Securities trading workstation
4610383,932,258,Disposable linear surgical stapler
5102417,931,259,"Expandable intraluminal graft, and method and apparatus for implanting an expandable intraluminal graft"
6591125,930,260,Small volume in vitro analyte sensor with diffusible or non-leachable redox mediator
5264104,930,261,Enzyme electrodes
6385596,930,262,Secure online music distribution system
d454139,929,263,Display screen for a computer
5664115,927,264,"Interactive computer system to match buyers and sellers of real estate, businesses and other property using the internet"
6162611,927,265,Subcutaneous glucose electrode
4327725,926,266,Osmotic device with hydrogel driving member
5910987,926,267,Systems and methods for secure transaction management and electronic rights protection
5824049,925,268,Coated implantable medical device
6698020,923,269,Techniques for intelligent video ad insertion
5987611,923,270,System and methodology for managing internet access on a per application basis for client computers connected to the internet
4878906,923,271,Endoprosthesis for repairing a damaged vessel
5628890,922,272,Electrochemical sensor
5744305,920,273,Arrays of materials attached to a substrate
4448419,919,274,Electronic gaming device utilizing a random number generator for selecting the reel stop positions
5624452,919,275,Hemostatic surgical cutting or stapling instrument
6089977,918,276,Slot machine game with roaming wild card
6809653,917,277,Telemetered characteristic monitor system and method of using the same
6121009,915,278,Electrochemical analyte measurement system
5592551,912,279,Method and apparatus for providing interactive electronic programming guide
6484046,911,280,Electrochemical analyte sensor
5862223,911,281,Method and apparatus for a cryptographically-assisted commercial network system designed to facilitate and support expert-based commerce
4503569,910,282,Transluminally placed expandable graft prosthesis
5570315,910,283,Multi-state EEPROM having write-verify control circuit
4545374,908,284,Method and instruments for performing a percutaneous lumbar diskectomy
5464650,908,285,Intravascular stent and method
6519571,908,286,Dynamic customer profile management
5601224,906,287,Surgical instrument
4757022,904,288,Biological fluid measuring device
3875595,904,289,- No title available -
5873904,904,290,Silver implantable medical device
5610683,901,291,Immersion type projection exposure apparatus
5042707,898,292,"Intravascular stapler, and method of operating same"
5582184,897,293,Interstitial fluid collection and constituent measurement
6032849,896,294,Surgical stapler
5790790,895,295,Electronic document delivery system in which notification of said electronic document is sent to a recipient thereof
3802817,894,296,- No title available -
4671288,894,297,Electrochemical cell sensor for continuous short-term use in tissues and blood
5947820,893,298,Electronic game method and apparatus with hierarchy of simulated wheels
5660163,893,299,Glucose sensor assembly
4346164,893,300,Photolithographic method for the manufacture of integrated circuits
6248067,892,301,Analyte sensor and holter-type monitor system and method of using the same
6336137,890,302,Web client-server system and method for incompatible page markup and presentation languages
5645599,890,303,Interspinal vertebral implant
3490675,890,304,- No title available -
5722891,890,305,Slot machine having two distinct sets of reels
5826241,889,306,Computerized system for making payments and authenticating transactions over the internet
5247575,889,307,Information distribution system
6046935,888,308,Semiconductor device and memory system
6763351,887,309,"Method, apparatus, and system for attaching search results"
6122403,887,310,Computer system linked by using information in data objects
5634012,887,311,System for controlling the distribution and use of digital works having a fee reporting mechanism
6560461,887,312,Authorized location reporting paging system
5810811,887,313,Electrosurgical hemostatic device
5415661,886,314,Implantable spinal assist device
5569815,884,315,Soybean cultivar 1572432
5873096,884,316,Method of maintaining a network of partially replicated database system
5008853,883,317,Representation of collaborative multi-user activities relative to shared structured data objects in a networked workstation environment
5716366,883,318,Hemostatic surgical cutting or stapling instrument
5807375,882,319,Analyte-controlled liquid delivery device and analyte monitor
5557518,881,320,Trusted agents for open electronic commerce
5576474,881,321,Soybean cultivar A1923
5356786,880,322,Interferant eliminating biosensor
5735848,879,323,Electrosurgical stapling device
6332163,879,324,Method for providing communication services over a computer network system
6379301,877,325,Diabetes management system and method for controlling blood glucose
6241139,876,326,Surgical stapling apparatus
5991735,875,327,Computer program apparatus for determining behavioral profile of a computer user
5638443,875,328,System for controlling the distribution and use of composite digital works
6146273,875,329,Progressive jackpot gaming system with secret bonus pool
5743262,874,330,Blood glucose monitoring system
5043736,874,331,Cellular position locating system
5348554,874,332,Catheter for RF ablation with cooled electrode
5821937,873,333,Computer method for updating a network design
6015346,873,334,Indicia selection game
4200770,872,335,Cryptographic apparatus and method
5769716,872,336,Symbol fall game method and apparatus
5484437,871,337,Apparatus and method of inserting spinal implants
5531744,871,338,Alternative current pathways for bipolar surgical cutting tool
5590038,871,339,Universal electronic transaction card including receipt storage and system and methods of conducting electronic transactions
6233389,870,340,Multimedia time warping system
4940464,870,341,Disposable incontinence garment or training pant
6602252,870,342,"Combined dissecting, cauterizing, and stapling device"
5056109,869,343,Method and apparatus for controlling transmission power in a CDMA cellular mobile telephone system
5530852,867,344,Method for extracting profiles and topics from a first file written in a first markup language and generating files in different markup languages containing the profiles and topics for use in accessing data described by the profiles and topics
5483261,867,345,Graphical input controller and method with rear screen image detection
6790178,866,346,"Physiological monitor and associated computation, display and communication unit"
4624459,866,347,Gaming device having random multiple payouts
6535909,866,348,System and method for record and playback of collaborative Web browsing session
5963953,866,349,"Method, and system for product configuration"
6981628,865,350,Surgical instrument with a lateral-moving articulation control
5225539,865,351,Recombinant altered antibodies and methods of making altered antibodies
5588432,865,352,"Catheters for imaging, sensing electrical potentials, and ablating tissue"
5297031,864,353,Method and apparatus for order management by market brokers
5383917,863,354,Device and method for multi-phase radio-frequency ablation
5590197,863,355,Electronic payment system and method
5277201,862,356,Endometrial ablation apparatus and method
5884032,862,357,System for coordinating communications via customer contact channel changing system using call centre for setting up the call between customer and an available help agent
5704534,862,358,Articulation assembly for surgical instruments
5862260,860,359,Methods for surveying dissemination of proprietary empirical data
5065929,859,360,Surgical stapler with locking means
5774668,859,361,System for on-line service in which gateway computer uses service map which includes loading condition of servers broadcasted by application servers for load balancing
6224483,858,362,Multi-spin rotating wheel bonus for video slot machine
6083710,858,363,Electrochemical analyte measurement system
5918014,858,364,Automated collaborative filtering in world wide web advertising
5411647,856,365,Techniques to improve the performance of electrochemical sensors
4723549,856,366,Method and apparatus for dilating blood vessels
5417210,855,367,System and method for augmentation of endoscopic surgery
5800420,855,368,Analyte-controlled liquid delivery device and analyte monitor
4429695,855,369,Surgical instruments
5247347,855,370,PSTN architecture for video-on-demand services
5674296,855,371,Human spinal disc prosthesis
6506559,854,372,Genetic inhibition by double-stranded RNA
5762552,854,373,Interactive real-time network gaming system
5717923,853,374,Method and apparatus for dynamically customizing electronic information to individual end users
5192301,853,375,Closing plug of a defect for medical use and a closing plug device utilizing it
5608872,853,376,System for allowing all remote computers to perform annotation on an image and replicating the annotated image on the respective displays of other comuters
5629981,853,377,Information management and security system
5312023,853,378,Self contained gas powered surgical apparatus
5497933,852,379,Apparatus and method for applying surgical staples to attach an object to body tissue
5933498,852,380,System for controlling access and distribution of digital property
4512338,852,381,Process for restoring patency to body vessels
5779549,852,382,Database driven online distributed tournament system
5825043,850,383,"Focusing and tilting adjustment system for lithography aligner, manufacturing apparatus or inspection apparatus"
5915616,850,384,Surgical fastener applying apparatus
4954126,850,385,Prosthesis comprising an expansible or contractile tubular body
4663220,849,386,Polyolefin-containing extrudable compositions and methods for their formation into elastomeric products including microfibers
3341394,849,387,- No title available -
5389098,849,388,Surgical device for stapling and/or fastening body tissues
5833695,849,389,Surgical stapling system and method of applying staples from multiple staple cartridges
5514180,848,390,Prosthetic intervertebral devices
6233471,847,391,Signal processing for measurement of physiological analysis
4658093,847,392,Software distribution system
5797537,846,393,Articulated surgical instrument with improved firing mechanism
6154738,846,394,Methods and apparatus for disseminating product information via the internet using universal product codes
5875108,845,395,Ergonomic man-machine interface incorporating adaptive pattern recognition based control system
6850895,845,396,Assignment manager
5383880,845,397,Endoscopic surgical system with sensing means
5479268,844,398,User interface for television schedule system
4949187,843,399,Video communications system having a remotely controlled central source of video and audio data
5732074,843,400,Mobile portable wireless communication system
5851149,843,401,Distributed gaming system
5334183,842,402,Endoscopic electrosurgical apparatus
5041129,842,403,Slotted suture anchor and method of anchoring a suture
6269369,840,404,Networked personal contact manager
6564261,839,405,Distributed system to intelligently establish sessions between anonymous users over various networks
5100423,838,406,Ablation catheter
5597107,838,407,Surgical stapler instrument
5845265,838,408,Consignment nodes
6059289,837,409,Gaming machines with bonusing
4878915,836,410,Surgical prosthetic implant facilitating vertebral interbody fusion
5673841,835,411,Surgical instrument
5687322,835,412,Method and system for selective incentive point-of-sale marketing in response to customer shopping histories
5258031,835,413,Intervertebral disk arthroplasty
6571282,834,414,Block-based communication in a communication services patterns environment
6982367,834,415,Soybean cultivar 0509244
5335657,834,416,Therapeutic treatment of sleep disorder by nerve stimulation
6473794,833,417,System for establishing plan to test components of web based framework by displaying pictorial representation and conveying indicia coded components of existing network framework
d457958,833,418,Vessel sealer and divider
5758328,832,419,Computerized quotation system and method
6972354,832,420,Soybean cultivar 0509245
6052735,832,421,Electronic mail object synchronization between a desktop computer and mobile device
5865361,832,422,Surgical stapling apparatus
6231445,831,423,Method for awarding variable bonus awards to gaming machines over a network
6969787,831,424,Soybean cultivar S030160
5276867,831,425,Digital data storage system with improved data migration
5757917,831,426,Computerized payment system for purchasing goods and services on the internet
6089978,831,427,Method of playing game and gaming games with an additional payout indicator
6960707,831,428,Soybean cultivar S010364
6979760,830,429,Soybean cultivar S030010
6958436,830,430,Soybean variety SE90346
6953876,830,431,Soybean cultivar 0037357
5019974,829,432,Diabetes management system and apparatus
5357276,829,433,Method of providing video on demand with VCR like functions
6967263,829,434,Soybean cultivar SN79525
6690387,829,435,Touch-screen image scrolling system and method
5520700,828,436,Stapler device particularly useful in medical suturing
5998925,828,437,Light emitting device having a nitride compound semiconductor and a phosphor containing a garnet fluorescent material
6972353,828,438,Soybean cultivar 0491737
5575799,828,439,Articulating surgical apparatus
5957949,827,440,Percutaneous placement valve stent
6654032,826,441,Instant sharing of documents on a remote server
6618934,826,442,Method of manufacturing small volume in vitro analyte sensor
5882261,826,443,Method of playing game and gaming device with at least one additional payout indicator
5227874,826,444,Method for measuring the effectiveness of stimuli on decisions of shoppers
6285999,825,445,Method for node ranking in a linked database
5716981,824,446,Anti-angiogenic compositions and methods of use
5794219,823,447,Method of conducting an on-line auction with bid pooling
6001067,823,448,Device and method for determining analyte levels
5564615,822,449,Surgical instrument
5086385,822,450,Expandable home automation system
5479447,822,451,"Method and apparatus for adaptive, variable bandwidth, high-speed data transmission of a multicarrier signal over digital subscriber lines"
6126542,821,452,Gaming device and method offering primary and secondary games
6461496,821,453,Small volume in vitro analyte sensor with diffusible or non-leachable redox mediator
3573747,820,454,- No title available -
5465206,819,455,Electronic bill pay system
5613012,818,456,Tokenless identification system for authorization of electronic transactions and electronic transmissions
5732400,818,457,System and method for a risk-based purchase of goods
7025743,818,458,"External infusion device with remote programming, bolus estimator and/or vibration alarm capabilities"
4772287,818,459,Prosthetic disc and method of implanting
4376110,818,460,Immunometric assays using monoclonal antibodies
6168563,817,461,Remote health monitoring and maintenance system
4977594,817,462,Database usage metering and protection system and method
4759769,817,463,Artificial spinal disc
5092866,816,464,Flexible inter-vertebral stabilizer as well as process and apparatus for determining or verifying its tension before installation on the spinal column
5133732,815,465,Intravascular stent
5395030,815,466,Surgical device for stapling and fastening body tissues
6016038,815,467,Multicolored LED lighting method and apparatus
6081735,814,468,Signal processing apparatus
5544347,814,469,Data storage system controlled remote data mirroring with respectively maintained data indices
6972355,814,470,Soybean cultivar 0509240
5558671,814,471,Impedance feedback monitor for electrosurgical instrument
6437692,813,472,System and method for monitoring and controlling remote devices
5500012,813,473,Ablation catheter system
4480910,813,474,Pattern forming apparatus
6284478,813,475,Subcutaneous glucose electrode
6004207,812,476,Slot machine with incremental pay-off multiplier
6006264,812,477,Method and system for directing a flow between a client and a server
6093172,812,478,Injector for a subcutaneous insertion set
6674562,811,479,Interferometric modulation of radiation
6088608,811,480,Electrochemical sensor and integrity tests therefor
6240555,811,481,Interactive entertainment system for presenting supplemental interactive content together with continuous video programs
6048269,811,482,Coinless slot machine system and method
5306309,810,483,Spinal disk implant and implantation kit
6601087,810,484,Instant document sharing
5957854,808,485,Wireless medical diagnosis and monitoring equipment
4993068,808,486,Unforgeable personal identification system
5084057,808,487,Apparatus and method for applying surgical clips in laparoscopic or endoscopic procedures
5465895,808,488,Surgical stapler instrument
5577188,807,489,Method to provide for virtual screen overlay
5545806,806,490,Ransgenic non-human animals for producing heterologous antibodies
5897562,806,491,Non-invasive apparatus for treatment of gastroesophageal reflux disease
6033307,805,492,Gaming machines with bonusing
6010054,804,493,Linear stapling instrument with improved staple cartridge
6108703,804,494,Global hosting system
5026377,804,495,Stent placement instrument and method
5715450,804,496,Method of selecting and presenting data from a database using a query language to a user of a computer system
5890138,804,497,Computer auction system
5019090,804,498,Radially expandable endoprosthesis and the like
4440871,804,499,Crystalline silicoaluminophosphates
5837313,803,500,Drug release stent coating process
5279294,802,501,Medical diagnostic system
5632432,802,502,Surgical instrument
5278272,802,503,Elastic substantialy linear olefin polymers
5819292,802,504,Method for maintaining consistent states of a file system and for creating user-accessible read-only copies of a file system
6711565,801,505,"Method, apparatus, and system for previewing search results"
6026388,800,506,User interface and other enhancements for natural language information retrieval system and method
3868956,800,507,- No title available -
6155925,800,508,Bonus game for gaming machine with payout percentage varying as function of wager
5979757,799,509,Method and system for presenting item information using a portable data terminal
3860003,799,510,- No title available -
5709680,799,511,Electrosurgical hemostatic device
5113869,798,512,Implantable ambulatory electrocardiogram monitor
5772586,798,513,Method for monitoring the health of a patient
6119913,798,514,Endoscopic stapler
5833537,797,515,Gaming apparatus and method with persistence effect
5071407,797,516,Radially expandable fixation member
5649104,797,517,System for allowing user of any computer to draw image over that generated by the host computer and replicating the drawn image to other computers
6233617,796,518,Determining the visibility to a remote database client
6269431,796,519,Virtual storage and block level direct access of secondary storage for recovery of backup data
6367077,796,520,Method of upgrading a software application in the presence of user modifications
5802492,796,521,Computer aided routing and positioning system
5851148,796,522,Game with bonus display
5609629,795,523,Coated implantable medical device
5266179,794,524,Quantitative analysis method and its system using a disposable sensor
